id,mun_key,mun_name,mun_name_short,mun_zip,mun_pop_cen22,mun_pop_cen22m,mun_pop_cen22f,mun_dens_cen22,mun_sizekm2,state,lat,lon,geo
1,110000000000,"Berlin, Stadt",NA,10178,3685265,1810259,1875006,4136,891.12,NA,NA,NA,NA
2,020000000000,"Hamburg, Freie und Hansestadt",NA,20038,1862565,911888,950677,2467,755.09,NA,NA,NA,NA
3,091620000000,"München, Landeshauptstadt",NA,80313,1505005,737442,767563,4844,310.7,NA,NA,NA,NA
4,053150000000,"Köln, Stadt",NA,50667,1024621,498050,526571,2530,405.02,NA,NA,NA,NA
5,064120000000,"Frankfurt am Main, Stadt",NA,60311,756021,371235,384786,3045,248.31,NA,NA,NA,NA
6,051110000000,"Düsseldorf, Stadt",NA,40213,618685,299070,319615,2846,217.41,NA,NA,NA,NA
7,081110000000,"Stuttgart, Landeshauptstadt",NA,70173,612663,304725,307938,2955,207.33,NA,NA,NA,NA
8,147130000000,"Leipzig, Stadt",NA,04109,611850,301582,310268,2055,297.8,NA,NA,NA,NA
9,059130000000,"Dortmund, Stadt",NA,44135,603462,297860,305602,2150,280.71,NA,NA,NA,NA
10,040110000000,"Bremen, Stadt",NA,28195,586271,289585,296686,1842,318.2,NA,NA,NA,NA
11,051130000000,"Essen, Stadt",NA,45121,574682,279666,295016,2732,210.34,NA,NA,NA,NA
12,146120000000,"Dresden, Stadt",NA,01067,564904,280262,284642,1720,328.48,NA,NA,NA,NA
13,095640000000,Nürnberg,NA,90403,529508,260358,269150,2840,186.44,NA,NA,NA,NA
14,032410001001,"Hannover, Landeshauptstadt",NA,30159,522131,256255,265876,2556,204.3,NA,NA,NA,NA
15,051120000000,"Duisburg, Stadt",NA,47051,502270,249294,252976,2157,232.84,NA,NA,NA,NA
16,059110000000,"Bochum, Stadt",NA,44787,358676,176530,182146,2462,145.66,NA,NA,NA,NA
17,051240000000,"Wuppertal, Stadt",NA,42275,358193,176780,181413,2127,168.39,NA,NA,NA,NA
18,057110000000,"Bielefeld, Stadt",NA,33602,331605,161011,170594,1281,258.83,NA,NA,NA,NA
19,053140000000,"Bonn, Stadt",NA,53111,323336,155766,167570,2292,141.06,NA,NA,NA,NA
20,082220000000,"Mannheim, Universitätsstadt",NA,68159,318035,159246,158789,2194,144.97,NA,NA,NA,NA
21,082120000000,"Karlsruhe, Stadt",NA,76133,309050,156995,152055,1782,173.42,NA,NA,NA,NA
22,055150000000,"Münster, Stadt",NA,48143,308258,147463,160795,1016,303.28,NA,NA,NA,NA
23,097610000000,Augsburg,NA,86150,301105,148796,152309,2050,146.85,NA,NA,NA,NA
24,064140000000,"Wiesbaden, Landeshauptstadt",NA,65183,288850,139893,148957,1417,203.87,NA,NA,NA,NA
25,055130000000,"Gelsenkirchen, Stadt",NA,45879,267930,132550,135380,2553,104.94,NA,NA,NA,NA
26,051160000000,"Mönchengladbach, Stadt",NA,41061,267213,132876,134337,1568,170.47,NA,NA,NA,NA
27,053340002002,"Aachen, Stadt",NA,52058,262670,137292,125378,1633,160.85,NA,NA,NA,NA
28,031010000000,"Braunschweig, Stadt",NA,38100,252962,125170,127792,1313,192.7,NA,NA,NA,NA
