mun_key,sample_type,mun_name_short,mun_pop_cen22,state,lat,lon
081110000000,top,Stuttgart,612663,Baden-Württemberg,48.78270269999999,9.182863
082120000000,top,Karlsruhe,309050,Baden-Württemberg,49.00674979999999,8.393843
083110000000,top,Freiburg im Breisgau,237460,Baden-Württemberg,47.9938544,7.8467583
084375001047,bottom,Hettingen,1861,Baden-Württemberg,48.2183065,9.2334784
081255007103,bottom,Widdern,1782,Baden-Württemberg,49.3163829,9.4155546
081275004047,bottom,Langenburg,1749,Baden-Württemberg,49.2543724,9.8590021
081350020020,median,Herbrechtingen,13238,Baden-Württemberg,48.6214032,10.1768709
083260003003,median,Bad Dürrheim,13149,Baden-Württemberg,47.97693330000001,8.6023588
083370116116,median,Wehr,13126,Baden-Württemberg,47.6300824,7.9057545
091620000000,top,München,1505005,Bayern,48.1351253,11.5819806
095640000000,top,Nürnberg,529508,Bayern,49.4550067,11.0795156
097610000000,top,Augsburg,301105,Bayern,48.3656729,10.8942662
094775437129,bottom,Kupferberg,1049,Bayern,50.1440665,11.5886595
094755428146,bottom,Lichtenberg,961,Bayern,50.3823545,11.6749019
096775621181,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
097740121121,median,Burgau,10670,Bayern,48.430206,10.4107793
092780118118,median,Bogen,10453,Bayern,48.9200636,12.6814185
095730120120,median,Langenzenn,10438,Bayern,49.48626729999999,10.7650387
110000000000,all,Berlin,3685265,Berlin,52.5221879,13.4093313
120540000000,top,Potsdam,184754,Brandenburg,52.4282075,13.0303376
120520000000,top,Cottbus/Chóśebuz,95123,Brandenburg,51.7561285,14.3092474
120510000000,top,Brandenburg an der Havel,74113,Brandenburg,52.408629,12.5172319
120645408084,bottom,Buckow (Märkische Schweiz),1513,Brandenburg,52.5681902,14.0735345
120615113308,bottom,Lieberose,1330,Brandenburg,51.9829088,14.2986998
120615108328,bottom,Märkisch Buchholz,849,Brandenburg,52.1370465,13.817068
120620092092,median,Doberlug-Kirchhain,8438,Brandenburg,51.6471716,13.4956659
120660112112,median,Großräschen/Rań,8355,Brandenburg,51.5879761,14.0109679
120630244244,median,Premnitz,8057,Brandenburg,52.5394578,12.3564309
040110000000,all,Bremen,586271,Bremen,53.0838997,8.8044917
020000000000,all,Hamburg,1862565,Hamburg,53.5488282,9.9871703
064120000000,top,Frankfurt am Main,756021,Hessen,50.1100897,8.6822492
064140000000,top,Wiesbaden,288850,Hessen,50.08302920000001,8.2387331
066110000000,top,Kassel,197230,Hessen,51.31705359999999,9.4924552
065350006006,bottom,Grebenau,2273,Hessen,50.74270629999999,9.4735362
066350017017,bottom,Rosenthal,2051,Hessen,50.97403509999999,8.8681453
066340023023,bottom,Schwarzenborn,1086,Hessen,50.911437,9.4472952
064340007007,median,Neu-Anspach,14342,Hessen,50.2961543,8.498942099999999
064310016016,median,Lorsch,14283,Hessen,49.6506474,8.5654893
065330003003,median,Bad Camberg,14268,Hessen,50.3112146,8.2912982
130030000000,top,Rostock,205307,Mecklenburg-Vorpommern,54.0838949,12.1666436
130040000000,top,Schwerin,98308,Mecklenburg-Vorpommern,53.62479279999999,11.4041715
130710107107,top,Neubrandenburg,60344,Mecklenburg-Vorpommern,53.5329275,13.2623187
130735355076,bottom,Richtenberg,1301,Mecklenburg-Vorpommern,54.20120799999999,12.8939863
130735355024,bottom,Franzburg,1272,Mecklenburg-Vorpommern,54.1855905,12.881767
130755551074,bottom,Lassan,1224,Mecklenburg-Vorpommern,53.9476977,13.8487883
130715163004,median,Altentreptow,4992,Mecklenburg-Vorpommern,53.68933939999999,13.2437058
130725261095,median,Schwaan,4976,Mecklenburg-Vorpommern,53.939859,12.1076632
130720058058,median,Kröpelin,4899,Mecklenburg-Vorpommern,54.0631588,11.7968001
032410001001,top,Hannover,522131,Niedersachsen,52.3749839,9.7388153
031010000000,top,Braunschweig,252962,Niedersachsen,52.2630024,10.5214314
034040000000,top,Osnabrück,166057,Niedersachsen,52.2758791,8.056059099999999
033585402018,bottom,Rethem (Aller),2332,Niedersachsen,52.7850859,9.378944
032575407033,bottom,Sachsenhagen,1821,Niedersachsen,52.3972121,9.2683882
033545403021,bottom,Schnackenburg,447,Niedersachsen,53.0355843,11.5389395
032570009009,median,Bückeburg,19221,Niedersachsen,52.281639,9.0440611
033580019019,median,Schneverdingen,19016,Niedersachsen,53.136959,9.818976
032410007007,median,Hemmingen,18932,Niedersachsen,52.2964253,9.7308342
053150000000,top,Köln,1024621,Nordrhein-Westfalen,50.9386437,6.9538847
051110000000,top,Düsseldorf,618685,Nordrhein-Westfalen,51.2220859,6.7727077
059130000000,top,Dortmund,603462,Nordrhein-Westfalen,51.5126773,7.4749694
053580012012,bottom,Heimbach,4487,Nordrhein-Westfalen,50.6343729,6.4583081
059580020020,bottom,Hallenberg,4367,Nordrhein-Westfalen,51.11265290000001,8.619638199999999
071435007067,bottom,Selters (Westerwald),2902,Nordrhein-Westfalen,50.5344251,7.7522666
051580008008,median,Haan,30086,Nordrhein-Westfalen,51.20579910000001,7.0042465
057540032032,median,Rietberg,30055,Nordrhein-Westfalen,51.7855342,8.3946686
059540012012,median,Gevelsberg,30006,Nordrhein-Westfalen,51.3370571,7.3522193
082220000000,top,Mannheim,318035,Rheinland-Pfalz,49.49200020000001,8.455677999999999
