probe_id,asn,lat,lon
46,3320,49.4905,10.9495
67,3209,52.3905,9.8105
71,50629,53.0875,8.8305
80,3320,52.3875,9.8115
81,3209,49.1475,9.2915
137,3257,50.1205,8.7385
159,3320,52.4815,13.3295
164,3209,51.5195,7.4505
233,13045,52.2085,9.5585
277,3320,52.3905,9.8105
325,8899,49.9695,8.6685
407,8763,50.1005,8.6675
555,680,48.7795,9.1595
560,3320,52.4975,13.3405
706,3320,50.2405,11.7175
812,12502,48.5185,9.0675
882,12502,48.7285,9.1115
896,553,49.0105,8.3915
901,8881,50.8675,11.8675
910,3209,53.1675,8.6075
916,9145,52.1405,8.5275
933,16202,50.9685,11.0185
968,8881,48.8015,8.9505
1206,57353,51.1805,6.9475
1212,3320,48.7785,9.1775
1280,9063,51.6575,8.0415
1312,15943,53.7285,9.9275
1313,3320,50.7885,7.0575
1326,3320,53.7405,10.0685
1330,3320,51.2775,7.7785
1336,52088,53.5605,9.9085
1338,3209,51.8315,6.6385
1350,3320,52.4575,13.5795
1388,3320,50.1315,8.9315
1415,31078,52.4895,13.3075
1458,20694,53.5515,9.9895
1497,3320,48.9905,8.4815
1506,48284,48.4405,10.0475
2007,3209,50.8105,7.1175
2024,3320,48.7695,9.1385
2089,3320,51.4915,6.9515
2097,3320,48.7205,9.2715
2108,39351,49.3515,8.1475
2170,3320,51.1875,6.5105
2227,8899,51.7405,8.1785
2237,3320,49.4505,11.0785
2290,12480,49.3375,8.6415
2322,50629,53.0785,8.7985
2332,50629,53.0785,8.7985
2364,8767,48.7095,11.4105
2430,6805,53.4975,10.0185
2453,201011,49.4285,11.1095
2615,3209,52.9695,9.8475
2650,,50.0475,10.5695
2715,3209,48.6595,10.8175
2777,3320,49.2905,10.5605
3097,8319,50.5605,9.6815
3112,3209,48.3585,9.9775
3150,6805,54.0875,12.1295
3288,3320,47.7215,10.3115
3294,9145,53.3095,9.9615
3297,15943,53.7805,9.9015
3407,9211,53.5505,10.0375
4008,3209,52.5715,13.3975
4067,,52.4605,13.5105
4150,3209,48.1875,11.6195
