mun_key,probe-1,probe-2,probe-3,probe-4,probe-5,distance-1,distance-2,distance-3,distance-4,distance-5
081110000000,19869,22109,21574,19836,19837,0.21919239465867157,0.3660819346757577,0.3962406895307241,0.403500895521136,0.403500895521136
082120000000,11194,52831,21421,21441,896,0.35060878360255493,0.35077837539608275,0.3997051346203068,0.42219902848327323,0.450910826574358
083110000000,1013945,11729,1004771,1010559,29215,0.6602414758968005,1.9663208439945516,3.476046227545347,4.19083061134613,6.377792131617213
084375001047,52839,19884,51094,52995,11296,11.799138427729707,15.042199394806197,24.25210088160855,24.25210088160855,26.7786512636367
081255007103,29222,18811,25329,81,29951,16.592880462045127,16.720523558813657,20.260771054216594,20.842326557577433,21.64845828393491
081275004047,1010576,62217,20250,55713,18811,17.252450902280664,21.091341440816194,26.484351518717464,30.36562036561191,31.50110202248077
081350020020,1506,1006858,1011407,53353,24357,22.27040208432415,24.359167185251376,24.92980039137538,25.714411545297637,28.04141516466146
083260003003,51017,32134,1009411,33886,6761,13.553900343909575,14.697696965999167,18.883913202102477,26.284858912217675,30.27026334357783
083370116116,4332,1005212,1013945,1004771,11729,10.849341986054213,24.377096311544243,41.28982747842555,41.60553557029111,42.624784984918556
091620000000,1010220,1010221,1000792,61562,32652,0.369908641170177,0.369908641170177,0.37694399261533923,0.39108930577674866,0.41820320517973175
095640000000,1000661,1013659,1010379,1001538,1011139,0.28633839451477067,0.3900115894141299,0.3964871650628912,0.39690063254856683,0.39690063254856683
097610000000,1002071,31056,22386,34752,1014021,0.5046027046257243,0.6621873363229853,0.7585383961324195,1.3822011153224685,10.924854576898424
094775437129,706,62428,50852,29659,1013075,14.1317671255087,18.208114072578564,21.98650210779095,27.858358913746052,30.682169266833075
094755428146,50852,706,1013075,1011248,29659,6.24108484253638,16.06829443608884,18.826251061470174,27.43200183647922,38.58019377573391
096775621181,1010374,1011093,52685,50445,1013840,6.0359014458803815,10.633809810838,14.754627006239991,27.263250741882032,27.56032109294185
097740121121,10920,53353,1506,51834,50828,10.680619054903552,11.03660203403293,26.9053084505275,26.948734888000676,30.272409575647476
092780118118,1007600,1008391,1003651,1007433,1007933,23.864523591145726,24.133539997496133,24.218073626830623,24.351020388643985,24.351020388643985
095730120120,60757,15128,34005,46,22981,9.53963220854264,11.776192320267384,11.783299799603466,13.37318875992394,16.543995247314314
110000000000,1013296,1012273,60281,31769,54828,0.23863708734298344,0.41797653869215246,0.5420298770906555,0.6043061205986162,0.7391658033485012
120540000000,1012075,1007510,28991,1009509,21469,3.4679074198659614,3.611030434190538,4.043533211206886,4.483381230147102,4.571330685388437
