freq,nace_r2,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C,NR,AT	26081 	25319 	25340 	25139 	25003 	25129 	25524 	25323 	25037 	25477 	25024 b	25663 	24805 p
A,C,NR,BA	: 	: 	: 	4904 p	4603 p	4440 p	9517 e	9805 e	10282 e	10794 b	10600 	10782 	: 
A,C,NR,BE	37209 	37981 	37310 	37473 	33972 	33468 	35747 	33788 	34132 	36801 	32223 b	38849 	39645 p
A,C,NR,BG	30288 	32177 	30728 	30135 	29715 	30091 	30374 	30879 	31323 	31272 	31390 b	31076 	29927 p
A,C,NR,CH	: 	20928 d	20656 bd	20413 d	20097 d	21161 d	21302 d	20598 	20367 	20050 	19787 	: 	: 
A,C,NR,CY	5530 	5575 	5540 	5342 	5283 	5243 	5076 	5019 	4966 	5024 	5060 	5045 	4982 p
A,C,NR,CZ	151753 p	156209 	167344 	173519 	173889 	167688 	170041 	172054 	175425 	175894 	180193 	180520 	177236 p
A,C,NR,DE	195439 	179834 	209370 	207847 	203664 	202824 	212602 	205028 	201826 	190541 	206043 b	212550 	211641 p
A,C,NR,DK	16676 	16020 	15718 	15715 	15524 	15062 	15007 	14832 	15244 	15343 	15408 b	15507 	15635 p
A,C,NR,EE	5478 	5441 	5468 	5563 	5927 	6381 	6613 	7053 	7259 	7507 	7363 b	7787 	7977 p
A,C,NR,EL	85004 	83565 	79338 	74066 	64582 	57736 	66088 bp	61840 p	61862 p	57373 p	57061 b	57014 	55848 p
A,C,NR,ES	207499 	191972 	188742 	182162 	175919 	168935 	166589 	166936 	166984 	168717 	171994 b	171281 	168689 p
A,C,NR,EU27_2007	2130000 de	2000000 du	2130000 de	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,C,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	1965568 	1985196 	1964946 	2025318 	2051074 	: 
A,C,NR,EU28	: 	: 	: 	: 	: 	: 	: 	2096668 	2120592 	2101666 	2163219 	: 	: 
A,C,NR,FI	23781 	22994 	22382 	22231 	21848 	21582 b	21042 	20768 	20264 	20176 b	19849 	19976 	19597 p
A,C,NR,FR	211646 	207040 	212193 	206998 	217865 	226372 	235092 b	213303 b	216049 	197657 b	203013 	209401 	216630 p
A,C,NR,HR	24071 	25351 	23809 	22216 	21330 	20673 	20087 	19716 	19475 	19539 	19750 	22351 b	22159 p
A,C,NR,HU	56346 	52710 	52163 	51521 	49798 	47475 	47614 	49310 	49951 	50809 	52105 b	54220 	53855 p
A,C,NR,IE	14513 	14629 	14311 	14336 	14533 	14649 	14628 	15242 	15583 	16701 	16542 	16461 	16378 p
