freq,indic_sb,nace_r2,currency,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 
A,V12110,C,MIO_EUR,AT	163042 	143374 	154127 	173388 	176022 	176744 	176781 
A,V12110,C,MIO_EUR,BE	264170 	211262 	236781 	270137 	270247 	267274 	261593 
A,V12110,C,MIO_EUR,BG	25617 	19724 	22069 	25415 	26516 	27337 	28042 
A,V12110,C,MIO_EUR,CH	: 	194057 	215062 b	248512 	256558 	260095 	263474 
A,V12110,C,MIO_EUR,CY	3990 	3600 	3674 	3503 	3206 	2800 	2784 
A,V12110,C,MIO_EUR,CZ	143662 p	114545 	132332 	147247 	147919 	144210 	149682 
A,V12110,C,MIO_EUR,DE	1871923 	1548371 	1750129 	1956112 	1967653 	1975826 	2021564 
A,V12110,C,MIO_EUR,DK	93761 	81605 	85369 	94019 	100321 	99963 	103534 
A,V12110,C,MIO_EUR,EE	8433 	6211 	7861 	10029 	10457 	11142 	11607 
A,V12110,C,MIO_EUR,EL	67035 	54884 	56843 	57817 	58314 	56478 	57221 
A,V12110,C,MIO_EUR,ES	540696 	420049 	446957 	469674 	457032 	447415 	455945 
A,V12110,C,MIO_EUR,EU27_2007	7140000 e	5810000 e	6410000 e	7000000 e	: 	: 	: 
A,V12110,C,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12110,C,MIO_EUR,EU28	: 	: 	: 	7000000 e	7080000 e	6980000 e	6984463 p
A,V12110,C,MIO_EUR,FI	150212 	114684 	123438 	132345 	132430 	134955 b	130284 
A,V12110,C,MIO_EUR,FR	942385 	804526 	848176 	899959 	895230 	877250 	871089 
A,V12110,C,MIO_EUR,HR	21845 	17424 	17179 	17282 	16846 	16247 	16562 
A,V12110,C,MIO_EUR,HU	97031 	74622 	87240 	96151 	93421 	93802 	98616 
A,V12110,C,MIO_EUR,IE	106139 	100464 	96572 	102377 	102284 	99422 p	: 
A,V12110,C,MIO_EUR,IT	978130 	783450 	871109 	921022 	906168 	872479 	867515 
A,V12110,C,MIO_EUR,LT	16876 	11758 	14260 	18161 	19180 	19651 	18935 
A,V12110,C,MIO_EUR,LU	11739 	8593 	12385 	14113 	13887 	13194 	13142 
A,V12110,C,MIO_EUR,LV	6964 	5025 	5815 	6872 	7972 	7767 	7581 
A,V12110,C,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C,MIO_EUR,NL	310458 	251271 	272482 	309433 	318965 	308574 	330403 
A,V12110,C,MIO_EUR,NO	92109 	75545 	83047 	88584 	93370 	93100 	93281 
A,V12110,C,MIO_EUR,PL	251420 	197142 	235726 	265109 	271427 	270727 	281253 
A,V12110,C,MIO_EUR,PT	83249 	70622 	76551 	80979 	79018 	79429 b	80584 
A,V12110,C,MIO_EUR,RO	63195 	48053 p	55036 	62647 	62501 	65677 	68894 
A,V12110,C,MIO_EUR,SE	191986 	143670 	178858 	203105 	217447 	209684 	204071 
A,V12110,C,MIO_EUR,SI	25829 	20800 	22932 	24424 	23898 	23848 	24682 
A,V12110,C,MIO_EUR,SK	53684 	43214 	53867 b	60791 	64846 	65798 	67312 
A,V12110,C,MIO_EUR,TR	: 	207784 	: 	: 	: 	: 	: 
A,V12110,C,MIO_EUR,UK	631315 	503420 	564083 	590796 	632721 	610963 	642252 
A,V12110,C_HTC,MIO_EUR,AT	8477 	7916 	8397 	8913 	8304 	9027 	9431 
A,V12110,C_HTC,MIO_EUR,BE	: @C	12731 	: @C	: @C	12487 	15960 	17425 
A,V12110,C_HTC,MIO_EUR,BG	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC,MIO_EUR,CH	: 	69400 	81820 b	94309 	103658 	104274 	105129 
A,V12110,C_HTC,MIO_EUR,CY	188 	180 	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC,MIO_EUR,CZ	12511 p	10426 	12116 	11655 	13218 	11644 	12065 
A,V12110,C_HTC,MIO_EUR,DE	128409 	99861 	108936 	116857 	113476 	118229 	121114 
A,V12110,C_HTC,MIO_EUR,DK	9934 	9863 	11614 	12515 	13918 	13927 	16018 
A,V12110,C_HTC,MIO_EUR,EE	468 	426 	956 	1708 	1791 	1848 	1871 
A,V12110,C_HTC,MIO_EUR,EL	1840 	1813 	: @C	1380 	1443 	2088 	1543 
A,V12110,C_HTC,MIO_EUR,ES	24202 	21070 	20946 	18540 	17617 	17640 	17193 
A,V12110,C_HTC,MIO_EUR,EU27_2007	546795 	486042 e	521191 e	531609 e	: 	: 	: 
A,V12110,C_HTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12110,C_HTC,MIO_EUR,EU28	: 	: 	: 	531939 e	507879 e	504136 	524520 p
A,V12110,C_HTC,MIO_EUR,FI	: @C	: @C	32326 	29951 	28709 	: b	24491 
A,V12110,C_HTC,MIO_EUR,FR	76202 	68687 	71151 	70383 	69999 	73389 	68467 
A,V12110,C_HTC,MIO_EUR,HR	: @C	: @C	: @C	893 	902 	1082 	1126 
A,V12110,C_HTC,MIO_EUR,HU	19961 	16539 	20890 	20257 	16338 	13977 	13674 
A,V12110,C_HTC,MIO_EUR,IE	49472 	54690 	47100 	49512 	43904 	39628 p	: 
A,V12110,C_HTC,MIO_EUR,IT	50120 	45682 	48957 	49869 	47224 	46510 	44247 
A,V12110,C_HTC,MIO_EUR,LT	304 	251 	324 	301 	289 	329 	390 
A,V12110,C_HTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC,MIO_EUR,NL	: @C	19110 	22135 	21114 	21251 	18420 	38930 
A,V12110,C_HTC,MIO_EUR,NO	: @C	: @C	: @C	: @C	: @C	3890 	: @C
A,V12110,C_HTC,MIO_EUR,PL	11528 	10475 	15123 	12506 	12374 	11629 	12857 
A,V12110,C_HTC,MIO_EUR,PT	3642 	3114 	2885 	3055 	2921 	2857 b	2740 
A,V12110,C_HTC,MIO_EUR,RO	2343 	2594 p	3567 	3365 	2349 	2360 	2596 
A,V12110,C_HTC,MIO_EUR,SE	: @C	: @C	: @C	: @C	25065 	24750 	: @C
A,V12110,C_HTC,MIO_EUR,SI	2076 	1922 	2040 	2162 	2287 	2409 	2450 
A,V12110,C_HTC,MIO_EUR,SK	6297 	: @C	7124 b	6367 	6403 	6025 	6216 
A,V12110,C_HTC,MIO_EUR,TR	: 	7235 	: 	: 	: 	: 	: 
A,V12110,C_HTC,MIO_EUR,UK	46204 	39721 	45923 	43170 	42395 	40143 	40922 
A,V12110,C_HTC_M,MIO_EUR,AT	54887 	45702 	53977 	60752 	61882 	63337 	63940 
A,V12110,C_HTC_M,MIO_EUR,BE	: @C	: @C	65420 	75501 	73133 	72594 	70817 
A,V12110,C_HTC_M,MIO_EUR,BG	3913 	2794 	3436 	4089 	4376 	4615 	5078 
A,V12110,C_HTC_M,MIO_EUR,CH	: 	49773 	: @C	59714 	58687 	61753 	62102 
A,V12110,C_HTC_M,MIO_EUR,CY	244 	230 	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC_M,MIO_EUR,CZ	53306 p	43946 	53375 	61902 	61765 	62266 	66976 
A,V12110,C_HTC_M,MIO_EUR,DE	863764 	711580 	824245 	926617 	938972 	949970 	995632 
A,V12110,C_HTC_M,MIO_EUR,DK	28237 	25211 	23805 	26307 	27453 	25832 	27017 
A,V12110,C_HTC_M,MIO_EUR,EE	1562 	1039 	1286 	1711 	1800 	1897 	1856 
A,V12110,C_HTC_M,MIO_EUR,EL	7696 	6003 	: @C	5198 	4939 	4832 	4627 
A,V12110,C_HTC_M,MIO_EUR,ES	159417 	123878 	133757 	137536 	132090 	132641 	140301 
A,V12110,C_HTC_M,MIO_EUR,EU27_2007	: @C	1964312 e	2218980 e	: @C	: 	: 	: 
A,V12110,C_HTC_M,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12110,C_HTC_M,MIO_EUR,EU28	: 	: 	: 	: @C	: @C	: @C	2543329 p
A,V12110,C_HTC_M,MIO_EUR,FI	33712 	26914 	26448 	: @C	: @C	: b	: @C
A,V12110,C_HTC_M,MIO_EUR,FR	325754 	270341 	286513 	306875 	305019 	302297 	303043 
A,V12110,C_HTC_M,MIO_EUR,HR	4164 	3361 	3422 	: @C	3004 	2705 	2824 
A,V12110,C_HTC_M,MIO_EUR,HU	32393 	23807 	28750 	34259 	35405 	38545 	43137 
A,V12110,C_HTC_M,MIO_EUR,IE	12089 	6577 	: @C	: @C	: @C	: @C	: 
A,V12110,C_HTC_M,MIO_EUR,IT	297316 	234016 	261641 	278264 	274892 	269369 	278750 
A,V12110,C_HTC_M,MIO_EUR,LT	2856 	1721 	2227 	3031 	3098 	2964 	2965 
A,V12110,C_HTC_M,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC_M,MIO_EUR,LV	709 	440 	572 	: @C	: @C	818 	802 
A,V12110,C_HTC_M,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_HTC_M,MIO_EUR,NL	: @C	73388 	81925 	96969 	99452 	95066 	96130 
A,V12110,C_HTC_M,MIO_EUR,NO	30762 	25824 	26168 	27450 	30934 	32728 	: @C
A,V12110,C_HTC_M,MIO_EUR,PL	63643 	51677 	60050 	67235 	67565 	68423 	71392 
A,V12110,C_HTC_M,MIO_EUR,PT	16755 	13674 	15939 	17546 	16627 	16283 b	16700 
A,V12110,C_HTC_M,MIO_EUR,RO	15771 	13382 p	15891 	18483 	18785 	21899 	23142 
A,V12110,C_HTC_M,MIO_EUR,SE	72933 	48864 	59439 	71185 	78678 	77578 	74601 
A,V12110,C_HTC_M,MIO_EUR,SI	8986 	: @C	: @C	: @C	8550 	8183 	: @C
A,V12110,C_HTC_M,MIO_EUR,SK	20945 	15947 	20713 b	25342 	29128 	30433 	30902 
A,V12110,C_HTC_M,MIO_EUR,TR	: 	51517 	: 	: 	: 	: 	: 
A,V12110,C_HTC_M,MIO_EUR,UK	208569 	159563 	181666 	201063 	206818 	204249 	216754 
A,V12110,C_LTC,MIO_EUR,AT	: @C	: @C	: @C	: @C	47634 	48209 	47877 
A,V12110,C_LTC,MIO_EUR,BE	: @C	: @C	: @C	: @C	67183 	67677 	67752 
A,V12110,C_LTC,MIO_EUR,BG	8685 	7778 	8112 	8749 	8880 	9550 	9830 
A,V12110,C_LTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC,MIO_EUR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC,MIO_EUR,CZ	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC,MIO_EUR,DE	351120 	321073 	341979 	366368 	369173 	372353 	372927 
A,V12110,C_LTC,MIO_EUR,DK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC,MIO_EUR,EE	3999 	3183 	3758 	4244 	4477 	4875 	5219 
A,V12110,C_LTC,MIO_EUR,EL	22485 	21207 	: @C	: @C	18597 	18364 	18143 
A,V12110,C_LTC,MIO_EUR,ES	167219 	145870 	148628 	154806 	150547 	149905 	151665 
A,V12110,C_LTC,MIO_EUR,EU27_2007	1906797 e	1686356 e	1773946 e	: @C	: 	: 	: 
A,V12110,C_LTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
